epoch,logE_MAE,logE_MSE,loss,val_logE_MAE,val_logE_MSE,val_loss
0,0.6092660427093506,0.6166509985923767,0.9358537197113037,0.5976324677467346,0.6025393605232239,1.1692225933074951
1,0.5686130523681641,0.5520668029785156,0.8379746675491333,0.585308849811554,0.5778085589408875,1.1308671236038208
2,0.5579336285591125,0.5357468128204346,0.8131969571113586,0.5778113603591919,0.5661584734916687,1.1011312007904053
3,0.5521520972251892,0.5269705057144165,0.7998784184455872,0.5732104182243347,0.5587579011917114,1.0848504304885864
4,0.5482134222984314,0.5210279226303101,0.7908488512039185,0.570811927318573,0.5544147491455078,1.0738868713378906
5,0.5452831387519836,0.5166338086128235,0.7841780781745911,0.5682775378227234,0.5512292385101318,1.0707796812057495
6,0.5429709553718567,0.5131301879882812,0.7788515090942383,0.5662454962730408,0.5482972264289856,1.0609599351882935
7,0.5410103797912598,0.5101047158241272,0.7742598056793213,0.5662110447883606,0.5480398535728455,1.0665342807769775
8,0.5393630862236023,0.5075761675834656,0.7704172730445862,0.5643985867500305,0.5458293557167053,1.059249758720398
9,0.5379102826118469,0.5053509473800659,0.7670298218727112,0.5637246370315552,0.5448710918426514,1.0546287298202515
10,0.5366573333740234,0.503399670124054,0.7640592455863953,0.5639538168907166,0.545581042766571,1.0606943368911743
11,0.5354911684989929,0.5015959143638611,0.7613160014152527,0.5632339119911194,0.5442586541175842,1.0577164888381958
12,0.5344619154930115,0.5000098347663879,0.7588967084884644,0.5631431341171265,0.5438361763954163,1.054738163948059
13,0.5335415005683899,0.49851199984550476,0.7566157579421997,0.5646178722381592,0.5454479455947876,1.064898133277893
14,0.5327656865119934,0.4973078668117523,0.7547937631607056,0.5627378225326538,0.5438644886016846,1.05704927444458
